FOLIO,FECHA,HORA,MINUTO,TIPO,VIOLENCIA,LATITUD,LONGITUD,DISTRITO,CUADRANTE,DIA,MES,ESTACION,AÑO
68652X,2015-01-10,99,99,ROBO A NEGOCIO,NO,28.620369,-106.028248,Morelos,55,10,1,Invierno,2015
80702,2015-01-10,99,99,ROBO DE VEHICULO,SI,28.665929,-106.113956,Villa,21,10,1,Invierno,2015
134809CX,2015-01-10,99,99,ROBO A CASA HABITACION,NO,28.666439,-105.957627,Morelos,48,10,1,Invierno,2015
65012,2015-01-10,99,99,ROBO A NEGOCIO,SI,28.598854,-106.084736,Zapata,74,10,1,Invierno,2015
73457,2015-01-10,99,99,ROBO DE VEHICULO,NO,28.637979,-106.074662,Ángel,37,10,1,Invierno,2015
67552X1,2015-01-10,99,99,ROBO A CASA HABITACION,NO,28.794114,-106.168727,Colón,1,10,1,Invierno,2015
68844X,2015-01-10,99,99,ROBO A CASA HABITACION,NO,28.656976,-106.01515,Morelos,46,10,1,Invierno,2015
62047A,2015-01-10,99,99,ROBO A NEGOCIO,SI,28.672664,-105.985755,Morelos,47,10,1,Invierno,2015
61259X,2015-01-10,99,99,ROBO A CASA HABITACION,NO,28.678767,-106.079049,Villa,24,10,1,Invierno,2015
142325C,2015-01-10,99,99,ROBO DE VEHICULO,SI,28.633126,-106.08115,Zapata,69,10,1,Invierno,2015
81629,2015-01-11,99,99,ROBO A CASA HABITACION,NO,28.699037,-106.116999,Villa,17,11,1,Invierno,2015
57169A,2015-01-11,99,99,ROBO A CASA HABITACION,NO,28.63633,-106.063975,Ángel,39,11,1,Invierno,2015
133941C,2015-01-11,99,99,ROBO A NEGOCIO,SI,28.628388,-106.086625,Villa,27,11,1,Invierno,2015
53639,2015-01-11,99,99,ROBO A NEGOCIO,NO,28.7045,-106.126464,Colón,12,11,1,Invierno,2015
16973,2015-01-11,99,99,ROBO A CASA HABITACION,NO,28.589363,-106.094333,Zapata,73,11,1,Invierno,2015
81975,2015-01-11,99,99,ROBO A CASA HABITACION,NO,28.685204,-106.12637,Villa,19,11,1,Invierno,2015
115569C,2015-01-11,99,99,ROBO A CASA HABITACION,NO,28.620021,-106.092308,Zapata,68,11,1,Invierno,2015
182857C,2015-01-11,99,99,ROBO A NEGOCIO,SI,28.672176,-106.106152,Villa,22,11,1,Invierno,2015
016237SP,2015-01-12,99,99,ROBO DE VEHICULO,SI,28.639162,-106.083677,Ángel,37,12,1,Invierno,2015
66311,2015-01-12,99,99,ROBO A NEGOCIO,NO,28.612033,-106.06285,Zapata,75,12,1,Invierno,2015
23205SP,2015-01-12,99,99,ROBO A NEGOCIO,NO,28.617302,-106.080282,Zapata,69,12,1,Invierno,2015
37092SP,2015-01-12,99,99,ROBO A CASA HABITACION,NO,28.591383,-106.092257,Zapata,73,12,1,Invierno,2015
228092C,2015-01-12,99,99,ROBO A NEGOCIO,NO,28.632179,-106.060424,Zapata,71,12,1,Invierno,2015
65640,2015-01-12,99,99,ROBO A NEGOCIO,SI,28.646567,-106.017955,Morelos,50,12,1,Invierno,2015
205186C,2015-01-12,99,99,ROBO A NEGOCIO,NO,28.634531,-106.120325,Diana,31,12,1,Invierno,2015
66371X1,2015-01-12,99,99,ROBO A NEGOCIO,NO,28.696715,-106.120546,Villa,16,12,1,Invierno,2015
131793C,2015-01-12,99,99,ROBO A CASA HABITACION,NO,28.650133,-106.07851,Villa,25,12,1,Invierno,2015
60429,2015-01-12,99,99,ROBO A NEGOCIO,NO,28.621363,-106.051611,Zapata,70,12,1,Invierno,2015
71467,2015-01-12,99,99,ROBO A NEGOCIO,NO,28.643031,-106.06923,Ángel,39,12,1,Invierno,2015
